id,tested_positive
0,8.386929
1,9.515731
2,4.9773736
3,8.9239435
4,17.140308
5,13.517034
6,10.319948
7,13.853887
8,13.021602
9,10.805143
10,6.4096193
11,9.69626
12,9.327394
13,16.690014
14,12.239059
15,6.484705
16,9.475816
17,5.408812
18,8.1412735
19,9.575908
20,18.930733
21,5.9306474
22,9.245862
23,10.434584
24,13.400572
25,18.522467
26,23.338518
27,8.699728
28,6.991365
29,15.256501
30,13.972298
31,3.6200998
32,11.652864
33,9.086291
34,8.753984
35,6.350234
36,13.481772
37,16.814219
38,9.520811
39,14.197366
40,14.686817
41,24.642523
42,5.626359
43,10.672697
44,23.888134
45,22.331709
46,17.798096
47,5.4513035
48,10.939054
49,6.007773
50,4.088925
51,8.171424
52,14.040061
53,16.012762
54,17.017496
55,18.961016
56,15.660071
57,10.583594
58,24.75181
59,8.257558
60,17.922335
61,19.145388
62,11.513041
63,16.559517
64,20.009811
65,12.481902
66,9.93615
67,6.0814695
68,6.4774446
69,15.717649
70,21.462587
71,18.9816
72,5.9659023
73,11.204002
74,17.851208
75,14.364594
76,16.602621
77,12.477665
78,9.953167
79,16.101137
80,23.359217
81,5.944493
82,22.434034
83,16.66888
84,23.447737
85,8.911497
86,9.854123
87,15.817292
88,26.606684
89,5.3160663
90,15.173831
91,15.103111
92,18.864965
93,20.887672
94,21.207401
95,10.449145
96,31.760529
97,8.188997
98,20.231977
99,18.025476
100,18.521147
101,17.461052
102,8.961298
103,16.367548
104,18.574766
105,12.867407
106,17.803972
107,18.522295
108,7.2287126
109,20.625427
110,22.980467
111,18.508732
112,22.652658
113,21.81367
114,11.485536
115,7.123972
116,19.318096
117,10.505521
118,22.934736
119,16.600035
120,21.432539
121,7.1298747
122,11.791812
123,11.645129
124,18.751896
125,8.551983
126,11.764722
127,15.031691
128,15.766956
129,9.432082
130,16.27488
131,6.3788238
132,9.047749
133,6.057598
134,12.9838
135,18.551771
136,17.371084
137,20.713123
138,5.6370263
139,13.09408
140,11.567418
141,9.293895
142,10.882502
143,9.0701065
144,23.61534
145,8.823931
146,11.546309
147,16.21331
148,24.293058
149,15.719442
150,11.695107
151,17.267859
152,10.828283
153,9.175086
154,20.642124
155,13.604617
156,13.772576
157,26.901075
158,21.21578
159,16.646091
160,12.690565
161,16.089533
162,9.708922
163,19.246258
164,9.439293
165,21.801458
166,11.243293
167,15.432504
168,10.412348
169,6.049613
170,12.604697
171,14.397982
172,11.600712
173,13.077713
174,23.025625
175,5.729144
176,5.698604
177,21.989744
178,12.796072
179,12.474624
180,19.557987
181,17.777563
182,8.590653
183,10.84004
184,11.845007
185,12.064119
186,13.155341
187,21.365044
188,7.247209
189,10.047573
190,6.6052694
191,5.3458157
192,20.181293
193,9.56616
194,9.194636
195,18.154274
196,19.101257
197,16.097534
198,6.318109
199,20.623718
200,6.683134
201,11.755602
202,21.762049
203,19.625977
204,18.638971
205,8.6873865
206,9.562317
207,7.107842
208,11.04231
209,19.657534
210,10.114743
211,13.052416
212,19.427345
213,5.294744
214,15.7077675
215,16.637558
216,16.597584
217,10.558879
218,20.808126
219,8.888239
220,6.3080163
221,9.286553
222,13.693162
223,20.978313
224,16.395697
225,9.263497
226,4.871861
227,14.509137
228,15.259153
229,11.814436
230,14.883381
231,5.765501
232,10.998467
233,18.929173
234,14.539956
235,6.700665
236,9.879866
237,17.324205
238,10.4751835
239,16.148615
240,19.719486
241,14.603921
242,23.276707
243,15.641157
244,9.058756
245,6.422731
246,18.829613
247,9.427927
248,21.014076
249,17.629156
250,17.779781
251,13.780904
252,16.555723
253,17.970644
254,13.974392
255,10.426295
256,20.356155
257,12.181163
258,13.98832
259,16.641972
260,16.1629
261,22.020836
262,11.455054
263,10.830626
264,16.162613
265,13.181718
266,15.436669
267,8.268135
268,11.328155
269,17.934244
270,11.2397
271,12.24304
272,17.210386
273,9.096897
274,16.532074
275,5.7951174
276,15.782342
277,8.301992
278,15.3882
279,8.715057
280,17.278425
281,11.99361
282,13.047462
283,13.175094
284,6.8863525
285,14.99531
286,6.8269386
287,17.799759
288,10.412799
289,14.39775
290,16.874657
291,10.15367
292,16.03144
293,14.609882
294,15.141662
295,16.750153
296,17.64731
297,12.608738
298,9.398951
299,12.010343
300,17.861809
301,14.13556
302,18.9858
303,15.915236
304,15.789374
305,17.765257
306,17.431793
307,14.599042
308,13.894122
309,17.590166
310,18.66427
311,17.885126
312,15.699653
313,11.724195
314,14.191292
315,9.371952
316,11.198816
317,20.343863
318,13.28456
319,17.411488
320,18.776396
321,8.196751
322,15.439263
323,10.697251
324,9.217563
325,17.083448
326,6.384698
327,18.784235
328,8.54264
329,12.618738
330,15.418286
331,15.156607
332,13.037946
333,15.155062
334,12.477463
335,10.227645
336,11.325518
337,15.242566
338,10.544206
339,6.504118
340,15.887079
341,15.375439
342,16.035149
343,13.460501
344,5.9743357
345,17.51522
346,12.187645
347,17.208303
348,20.913635
349,7.4619884
350,12.777156
351,11.521103
352,12.787806
353,5.6613364
354,12.887796
355,16.811445
356,11.639017
357,17.17618
358,7.6935577
359,4.5278044
360,11.0667715
361,11.788613
362,14.559243
363,13.361863
364,11.719556
365,14.10403
366,9.666005
367,17.769972
368,5.562432
369,12.744678
370,20.1517
371,10.754782
372,13.910274
373,18.882818
374,15.621233
375,16.706106
376,11.128927
377,16.538433
378,15.134694
379,4.672849
380,24.318419
381,6.7962475
382,16.556213
383,13.985664
384,15.165376
385,18.870024
386,13.4445715
387,12.442497
388,15.928635
389,18.047565
390,15.542743
391,17.188608
392,12.930963
393,10.870978
394,9.924055
395,15.184541
396,14.9264345
397,6.638118
398,12.47731
399,6.069036
400,13.37799
401,11.2283325
402,3.6616902
403,5.7019825
404,11.114216
405,14.597531
406,10.925036
407,6.5475063
408,4.9949427
409,6.7130456
410,6.935845
411,9.221481
412,7.813615
413,13.40773
414,8.34329
415,13.407665
416,6.900956
417,11.826041
418,6.840788
419,6.7765136
420,11.399531
421,6.3513756
422,14.761548
423,7.4623585
424,15.105167
425,6.2719374
426,15.795375
427,6.143085
428,7.300869
429,13.718877
430,15.493922
431,17.59942
432,6.8746185
433,3.7478893
434,10.049129
435,15.440832
436,10.271489
437,4.9622416
438,12.37691
439,6.5045643
440,15.850686
441,10.934032
442,11.304995
443,13.576714
444,7.3906746
445,19.100107
446,12.335896
447,16.517834
448,11.56298
449,11.779372
450,8.251171
451,8.408561
452,13.512681
453,12.53939
454,8.357998
455,14.007765
456,15.920953
457,11.579949
458,16.354034
459,6.8343377
460,17.558771
461,8.0509
462,5.7325525
463,6.2705145
464,7.211133
465,6.049049
466,11.179785
467,16.870878
468,7.7260756
469,11.191897
470,10.147226
471,13.480412
472,11.445616
473,8.455941
474,11.072091
475,15.78856
476,6.412655
477,5.480922
478,7.887418
479,9.122312
480,17.943396
481,15.94156
482,9.083767
483,12.870122
484,10.189072
485,17.904568
486,11.862341
487,10.179941
488,14.391756
489,15.562589
490,9.43135
491,7.037783
492,11.520136
493,11.28196
494,16.972034
495,3.5774264
496,18.329512
497,15.417556
498,8.393922
499,12.371631
500,5.241626
501,8.168235
502,17.664078
503,16.459152
504,13.637516
505,10.177969
506,15.460696
507,6.325579
508,11.209529
509,4.7355003
510,9.417153
511,21.43643
512,10.486085
513,9.1074
514,6.223918
515,5.841366
516,20.212027
517,5.5167246
518,13.230974
519,18.555016
520,9.210433
521,11.218461
522,5.355205
523,7.0541267
524,7.8458266
525,21.688078
526,11.0466
527,16.35014
528,7.043336
529,13.773549
530,11.673068
531,6.9620132
532,4.1871343
533,18.246073
534,7.490639
535,16.997503
536,9.827661
537,8.699169
538,9.168956
539,15.229625
540,9.8240185
541,18.213795
542,16.76708
543,10.934503
544,15.27895
545,9.27239
546,9.785741
547,11.272236
548,8.302278
549,12.391048
550,8.577188
551,11.070108
552,9.4696665
553,9.280173
554,3.4972346
555,15.064169
556,11.507616
557,7.814353
558,12.092742
559,10.690078
560,19.292168
561,10.578619
562,6.5031953
563,12.835205
564,4.899953
565,7.1869845
566,9.192812
567,16.616774
568,7.4940643
569,8.901755
570,7.627056
571,11.607638
572,18.262201
573,10.566217
574,18.242632
575,9.404688
576,16.439453
577,5.244875
578,6.492796
579,7.677406
580,7.9913654
581,6.135925
582,6.606579
583,7.5185223
584,8.264559
585,6.76703
586,8.810371
587,4.204153
588,13.146962
589,8.971168
590,8.3799305
591,15.731928
592,6.014054
593,7.566452
594,7.083886
595,7.1141157
596,8.351349
597,9.014047
598,6.2663302
599,9.2490015
600,9.909559
601,15.497593
602,8.120483
603,4.6394997
604,10.311946
605,16.814161
606,7.715299
607,10.22885
608,9.486656
609,14.939431
610,15.202485
611,8.796938
612,13.616278
613,4.044786
614,14.554426
615,7.612656
616,7.9262524
617,14.426843
618,7.3821464
619,16.627254
620,7.7790384
621,8.350861
622,12.885103
623,8.540975
624,8.857215
625,6.599529
626,16.76672
627,20.118002
628,5.446911
629,10.186824
630,6.1876755
631,15.832902
632,9.624836
633,16.894377
634,8.133361
635,10.840947
636,12.8406315
637,18.101748
638,8.586271
639,18.591524
640,8.263588
641,21.643261
642,8.473628
643,8.066308
644,8.054919
645,10.085632
646,5.9813547
647,13.085553
648,9.080209
649,5.8141
650,14.51833
651,5.8832765
652,9.462501
653,20.344807
654,16.185162
655,9.731635
656,13.772412
657,24.015856
658,14.619859
659,17.33349
660,13.787832
661,6.510385
662,27.903421
663,8.4089985
664,24.17313
665,14.837834
666,10.411671
667,13.841156
668,18.397158
669,8.756482
670,12.272935
671,11.7629795
672,11.662007
673,12.251973
674,7.8344145
675,21.647697
676,16.783915
677,16.606625
678,8.437231
679,14.100873
680,7.2919908
681,8.641213
682,29.22428
683,30.220224
684,7.549549
685,18.137125
686,12.246295
687,12.472098
688,5.4351683
689,5.4376936
690,13.135872
691,9.3630495
692,21.94903
693,11.207265
694,6.9911184
695,22.680288
696,6.5637264
697,19.439184
698,15.491119
699,22.430676
700,10.5275955
701,13.097838
702,11.762442
703,4.4548903
704,10.899009
705,16.203522
706,8.907606
707,10.560075
708,6.0014143
709,25.305286
710,17.982994
711,10.007669
712,4.7454476
713,11.690305
714,15.29274
715,6.8221436
716,13.662571
717,17.443573
718,6.717172
719,9.880984
720,8.688882
721,15.345589
722,10.4481535
723,11.685386
724,15.561559
725,16.134464
726,9.464923
727,15.295793
728,11.759834
729,4.5103474
730,23.393194
731,5.0815225
732,6.5502024
733,24.473606
734,8.273846
735,12.055642
736,13.942768
737,14.332825
738,8.169036
739,6.117411
740,6.29666
741,14.995833
742,11.657321
743,6.0080643
744,10.444082
745,18.486858
746,14.998653
747,15.512919
748,6.5878544
749,9.717799
750,7.685172
751,9.248207
752,11.109261
753,3.9562337
754,10.722542
755,14.555855
756,12.950271
757,5.7316833
758,9.117716
759,10.713529
760,17.577534
761,8.629544
762,9.34629
763,14.884846
764,10.018849
765,4.2776804
766,12.897536
767,10.906174
768,12.6521845
769,5.2244134
770,21.547928
771,12.979498
772,15.220025
773,15.8168545
774,8.933731
775,12.095906
776,7.656432
777,20.58807
778,8.51895
779,14.33051
780,19.49399
781,7.8374267
782,24.46223
783,11.358183
784,15.646909
785,16.184126
786,13.673212
787,10.88825
788,8.4186125
789,7.477998
790,10.385077
791,8.884267
792,13.09389
793,5.605017
794,9.442323
795,6.633742
796,14.835683
797,12.224805
798,17.135468
799,9.871428
800,10.744914
801,15.296614
802,8.962342
803,9.411364
804,11.328107
805,5.9039187
806,20.895723
807,15.113882
808,12.407585
809,20.311852
810,18.640646
811,17.450502
812,21.731863
813,13.833039
814,10.92799
815,19.035421
816,17.720678
817,16.84554
818,17.587572
819,9.198705
820,17.182589
821,4.167154
822,14.906636
823,23.429811
824,16.02839
825,8.405386
826,7.432949
827,9.384037
828,8.275505
829,20.42811
830,6.9352236
831,13.365111
832,26.983109
833,10.875638
834,18.3748
835,31.619896
836,10.3508005
837,23.14895
838,22.685043
839,11.650363
840,27.660086
841,20.577707
842,12.00859
843,9.689972
844,30.199123
845,12.340107
846,11.180679
847,16.290956
848,6.965963
849,9.305019
850,18.68717
851,13.130164
852,23.183672
853,13.751069
854,12.073193
855,7.0221953
856,16.900768
857,9.18614
858,10.27109
859,19.774748
860,24.557608
861,28.177454
862,17.831615
863,23.029182
864,22.113474
865,23.052021
866,16.12203
867,24.948795
868,26.727505
869,22.21077
870,9.174302
871,26.439701
872,30.500587
873,30.393251
874,6.9364305
875,28.628605
876,14.529759
877,28.073673
878,11.175786
879,19.736937
880,21.521704
881,22.52957
882,9.857409
883,13.541446
884,31.131918
885,16.940989
886,18.724669
887,24.574493
888,11.014834
889,12.741494
890,10.398692
891,21.154877
892,16.381449
893,12.536576
894,37.142853
895,8.335727
896,18.5214
897,26.104805
898,21.168941
899,34.960552
900,23.802858
901,6.6669474
902,25.516186
903,18.029133
904,21.22605
905,7.9958787
906,32.002014
907,21.831543
908,10.462905
909,10.008961
910,32.6435
911,31.836622
912,34.335
913,10.433948
914,21.24297
915,41.972466
916,15.376411
917,13.144187
918,25.243837
919,23.396635
920,17.16302
921,17.444403
922,18.088339
923,45.167244
924,17.732512
925,8.930251
926,25.762152
927,23.7054
928,27.288391
929,14.345916
930,18.55017
931,46.087925
932,12.208653
933,30.679564
934,27.176226
935,12.577413
936,10.233178
937,26.856197
938,18.703283
939,25.890585
940,23.107235
941,34.794537
942,21.182106
943,33.60618
944,18.00632
945,24.895613
946,24.664276
947,36.676876
948,26.535019
949,8.463505
950,31.586308
951,42.346222
952,20.708317
953,13.770291
954,21.70996
955,28.988718
956,32.09089
957,16.178846
958,20.419977
959,23.619211
960,7.8528643
961,31.592213
962,27.344244
963,24.248287
964,32.275085
965,22.556767
966,11.644903
967,27.381517
968,30.865957
969,26.001505
970,24.801243
971,20.91242
972,25.029402
973,17.833418
974,18.806473
975,31.916765
976,9.3060255
977,33.61999
978,19.452631
979,34.668972
980,13.126264
981,20.28653
982,31.776804
983,21.65326
984,37.786243
985,12.282659
986,36.08692
987,22.687702
988,20.560694
989,35.82844
990,29.568321
991,20.489532
992,28.356245
993,26.528399
994,14.426211
995,33.5581
996,40.692146
997,34.25823
998,16.485033
999,29.297842
1000,6.927711
1001,12.242961
1002,28.969124
1003,31.947126
1004,7.8664217
1005,28.211325
1006,26.661654
1007,16.368382
1008,18.483162
1009,22.386904
1010,22.837486
1011,26.836351
1012,20.93771
1013,36.649467
1014,32.00493
1015,27.77928
1016,27.04705
1017,27.555086
1018,19.417562
1019,22.063332
1020,18.147158
1021,31.358736
1022,42.013504
1023,26.164068
1024,33.563465
1025,33.725513
1026,20.564142
1027,17.2268
1028,31.425806
1029,37.467117
1030,11.839576
1031,27.622356
1032,13.745968
1033,17.669949
1034,26.105623
1035,33.099117
1036,33.28905
1037,12.766671
1038,14.766301
1039,13.653636
1040,34.275074
1041,16.8894
1042,34.976074
1043,38.12386
1044,17.109274
1045,34.887764
1046,20.28828
1047,18.741013
1048,33.68933
1049,25.113462
1050,28.966639
1051,32.19841
1052,17.098452
1053,32.41306
1054,33.374336
1055,39.329216
1056,22.168653
1057,25.821623
1058,24.743086
1059,33.181347
1060,38.67796
1061,26.673113
1062,37.190155
1063,28.163527
1064,32.763195
1065,21.590761
1066,30.348898
1067,22.59701
1068,25.959305
1069,29.709597
1070,25.988121
1071,29.425558
1072,37.99944
1073,34.512127
1074,33.819103
1075,36.06495
1076,35.38381
1077,39.18627
